nome_repositorio;release_ant;release_ant_sha;release_ant_date;release_atu;release_atu_sha;release_atu_date;kloc_ant;kloc_atu;qtd_commits_test;qtd_commits_testing;qtd_commits_refactor_test;total_commits_teste;qtd_commits_bug;qtd_commits_fix;qtd_commits_hotfix;qtd_commits_patch;total_commit_correcao;numero_ciclo
LawnchairLauncher/lawnchair;v12.0.0;f082b80316aede6ee61de127cd2576ba3b495e4b;2021-10-11T20:48:45-07:00;198;4beda23d8ae5122309719e753508837b7055909f;2017-06-27T09:04:05+02:00;147.787;62.709;19;1;0;20;8;45;0;1;54;4
LawnchairLauncher/lawnchair;198;4beda23d8ae5122309719e753508837b7055909f;2017-06-27T09:04:05+02:00;236;a229a3b54adc1fd097185f6deaa7ce9be01392a2;2017-07-03T15:36:29+02:00;62.709;62.926;0;0;0;0;0;18;0;4;22;5
LawnchairLauncher/lawnchair;236;a229a3b54adc1fd097185f6deaa7ce9be01392a2;2017-07-03T15:36:29+02:00;238;2320dfd1c41e9060b4a1a50eeff0bc042d294d54;2017-07-03T15:55:51+02:00;62.926;62.926;0;0;0;0;0;1;0;0;1;6
LawnchairLauncher/lawnchair;238;2320dfd1c41e9060b4a1a50eeff0bc042d294d54;2017-07-03T15:55:51+02:00;255;5768b948e6cee2015776cc850506fb0f0254b9f0;2017-07-05T11:28:52+02:00;62.926;63.105;0;0;0;0;0;8;0;0;8;7
LawnchairLauncher/lawnchair;255;5768b948e6cee2015776cc850506fb0f0254b9f0;2017-07-05T11:28:52+02:00;812;41283c8234f15b0d58a87c8151d3955294c9bcbe;2017-07-16T18:15:34+07:00;63.105;70.658;1;0;0;1;2;25;0;0;27;8
LawnchairLauncher/lawnchair;812;41283c8234f15b0d58a87c8151d3955294c9bcbe;2017-07-16T18:15:34+07:00;815;1707feb239651f45b2835f635b798d619b468244;2017-07-16T14:45:48+02:00;70.658;70.667;0;0;0;0;0;0;0;0;0;9
LawnchairLauncher/lawnchair;815;1707feb239651f45b2835f635b798d619b468244;2017-07-16T14:45:48+02:00;818;20a4936943bc2ba2a3c469ef11b5d750ffa56386;2017-07-16T15:02:49+02:00;70.667;70.672;0;0;0;0;0;0;0;0;0;10
azkaban/azkaban;3.0.0;ff3d3ebdbc4982e7592d92fc5e8322af2728d406;2015-11-20T13:47:04-08:00;4.0.0;9018fa2c4afb71b8b86cb8d5092d50d8bcf9c7e1;2021-03-18T00:31:52+05:30;83.675;131.637;495;1;9;505;32;191;0;1;224;1
LibrePDF/OpenPDF;1.0;4eaf6b2c364ffd0b46215995893f6086326f0cb0;2016-05-13T07:26:23+02:00;2.0.0;c6027b5b5b7dbdd0fd3780f5bee2bc32337aad7f;2024-02-14T17:07:16+01:00;103.333;90.361;280;2;0;282;33;198;0;8;239;1
LibrePDF/OpenPDF;2.0.0;c6027b5b5b7dbdd0fd3780f5bee2bc32337aad7f;2024-02-14T17:07:16+01:00;3.0.0;0423baebc44f0da5454958a3613cc102384e22a5;2025-08-17T13:05:48+02:00;90.361;164.932;90;0;1;91;1;41;0;0;42;2
bluelinelabs/Conductor;2.0.0;9386836ab5e5d369b5e688a00e35d40d3b086de8;2016-06-27 18:07:01 -0500;3.0.0;47cf20c28e21837f19c396736d93260974578c9d;2020-11-05 14:40:49 -0600;3.578;6.07;61;1;0;62;2;137;0;0;139;1
orientechnologies/orientdb;2.0;33655040be3fe9e0ae618cfa130a2ffb1930b6b1;2015-01-20 19:58:08 +0100;3.0.0;099033f72305d1c17f27d025b04afad7059c1298;2018-04-09T16:38:25+00:00;154.317;314.946;2936;15;18;2969;115;2546;14;8;2683;1
JabRef/jabref;v3.0;ee7618b21816732ee446102c42d76df59aae065f;2015-11-29T23:25:04+01:00;v4.0;5d23e46382cfdf13399a639665662575d2922eb9;2017-10-04T10:39:57+02:00;144.496;153.009;1171;15;8;1194;44;849;2;65;960;1
JabRef/jabref;v4.0;5d23e46382cfdf13399a639665662575d2922eb9;2017-10-04T10:39:57+02:00;v5.0;60ff83a5f60d97d764bd76fd9762cd76eefdc983;2020-03-06T09:43:06+01:00;153.009;922.002;528;3;0;531;22;710;0;7;739;2
dtinit/data-transfer-project;v1.0.0;63d3e2c4f39568203df8bbcb6db39d1797df0541;2023-03-27T19:05:29+01:00;3;b5edadef50cae50e84c2c8185d3eb293251fe140;2020-01-13T14:57:07-06:00;68.064;37.557;0;0;0;0;0;0;0;0;0;1
dtinit/data-transfer-project;3;b5edadef50cae50e84c2c8185d3eb293251fe140;2020-01-13T14:57:07-06:00;6783599;7100af77eee6aeb5535cd9d4d737e4e63aa3e009;2019-12-16T12:25:14-06:00;37.557;37.438;0;0;0;0;0;0;0;0;0;2
